cellid	x	y	cell_type	batchid
4493.1	-621.67195518289	-24.4180356171675	Olig2	1
4493.2	-356.547141773997	42.1450097110559	intermediate	1
4493.3	564.890490006046	42.7675209553218	intermediate	1
4493.4	-753.251351434332	6.48597227513574	Olig2	1
4493.5	-653.631043959997	-46.1381220072369	Olig2	1
4493.6	-567.271717197502	30.1406429646287	Olig2	1
4493.7	-564.013187335898	-45.1874050930934	Olig2	1
4493.8	-629.220166181516	44.963909590596	Olig2	1
4493.9	-775.208509514388	42.4820648199333	Olig2	1
4493.10	-567.139218553194	40.130007092838	Olig2	1
4493.11	-624.831022951348	3.262494084857	Olig2	1
4493.12	-687.023508340351	39.330902374562	Olig2	1
4493.13	-597.275642667466	23.0284610385821	Olig2	1
4493.14	-521.691506733988	35.1607548890215	Olig2	1
4493.15	138.558951417695	7.21982388008989	intermediate	1
4493.16	-792.910726295612	-36.315722288234	Olig2	1
4493.17	735.367452947023	-27.6617230809009	intermediate	1
4493.18	-752.678469235304	39.0298071474089	Olig2	1
4493.19	-648.939580480334	-18.5018616172495	Olig2	1
4493.20	-645.291742033196	38.2466909104398	Olig2	1
4493.21	-591.223868508714	-46.636690837274	Astro	1
4493.22	-618.718622938458	-40.4697193192498	Astro	1
4493.23	-405.201801154554	37.4795137257831	Astro	1
4493.24	-643.172631622887	45.1041038983088	Astro	1
4493.25	-608.965425997956	-34.3376557136188	Olig2	1
4493.26	-660.307295112668	46.8226272112934	Olig2	1
4493.27	-685.2399781665	5.69582610044272	Olig2	1
4493.28	-664.42756642691	15.2273037600377	Olig2	1
4493.29	-594.734281395633	13.2667953237954	Olig2	1
4493.30	-775.778373132667	15.3537887246477	Olig2	1
4493.31	-716.146362934709	37.2473635587824	Olig2	1
4493.32	-595.619809767477	35.388002696926	Olig2	1
4493.33	-549.717890570647	23.4632084383169	Olig2	1
4493.34	-744.698778049522	42.0285990439868	Olig2	1
4493.35	-760.549313619397	-43.9781770732239	Olig2	1
4493.36	-720.012710405491	3.87008841889765	Olig2	1
4493.37	-568.365643729579	26.3333313387016	Olig2	1
4493.38	-775.016353637155	40.404686339011	Olig2	1
4493.39	-554.288925101503	37.6539951359756	Olig2	1
4493.40	-668.323257840348	39.0196547943479	Olig2	1
4493.41	-564.104726037807	35.240850487968	Olig2	1
4493.42	-616.724065376751	6.4541644355899	Olig2	1
4493.43	-781.481860597787	37.5234264078696	Olig2	1
4493.44	-761.491355864508	33.7793457876071	Olig2	1
4493.45	-542.626908980686	-40.4209274541866	Olig2	1
4493.46	-761.16127105613	28.1482262096334	Olig2	1
4493.47	-686.475372431154	24.3136103746753	Olig2	1
4493.48	-786.895434417361	38.2648499282962	Olig2	1
4493.49	-748.270687530717	1.82108215082133	Olig2	1
4493.50	-530.388280102229	6.89001258867273	Olig2	1
4493.51	-655.230642053578	6.3493168192123	Olig2	1
4493.52	-616.80593320665	39.6969920750748	Olig2	1
4493.53	-572.488686860869	36.0005289177319	Olig2	1
4493.54	-577.29877669661	22.600235116897	Olig2	1
4493.55	-524.57255336574	19.8306521793739	Olig2	1
4493.56	-562.865072153805	31.8330401067777	Olig2	1
4493.57	-653.361368089401	27.7044298604574	Olig2	1
4493.58	-590.463581633478	31.6432113577359	Olig2	1
4493.59	-619.860849631378	45.1607797819195	Olig2	1
4493.60	-792.305715562943	34.4185320984699	Olig2	1
4493.61	-624.168994010763	45.81168732597	Olig2	1
4493.62	-663.121399330371	37.569359607597	Olig2	1
4493.63	-631.303967807194	-6.45383656358783	Olig2	1
4493.64	-586.372361962894	28.7618369211487	Olig2	1
4493.65	-552.113549067291	-16.0208296439105	Astro	1
4493.66	-580.81481714735	-36.0706732195958	Astro	1
4493.67	-623.604355363253	-21.6075629899112	Astro	1
4493.68	-488.64596718254	4.24444056443566	Astro	1
4493.69	-590.859826387336	3.92805909060057	Astro	1
4493.70	-667.303793334212	45.6627193386565	Astro	1
4493.71	-445.835009972779	45.9169158943732	Astro	1
4493.72	-619.879696591285	-8.88058329312565	Astro	1
4493.73	-656.221430494873	-47.357142716382	Astro	1
4493.74	-622.409771647613	-47.9797523385944	Astro	1
4493.75	-603.371600932626	2.15897152949821	Astro	1
4493.76	-501.417156124158	35.809860930656	Astro	1
4493.77	-545.281844778324	-1.59862617548615	Astro	1
4493.78	-558.527235420873	-39.6818559769258	Astro	1
4493.79	-609.393526324014	-44.3627678154521	Astro	1
4493.80	-639.856619194712	46.6243332522961	Astro	1
4493.81	-488.481939574755	42.5937913440073	Astro	1
4493.82	-701.287093201362	-38.9210206965232	Astro	1
4493.83	-437.575419955024	-31.6963203132626	Astro	1
4493.84	-631.270952918476	38.8340167234571	Astro	1
4493.85	-817.703515309958	-26.1533554033935	Astro	1
4493.86	-634.8957052251	22.7677052107927	Astro	1
4493.87	-405.368167608707	40.6989126621718	Astro	1
4493.88	-487.04310673027	-44.8496203556989	Astro	1
4493.89	-562.716886176068	43.5961926381992	Astro	1
4493.90	-570.060903832695	-33.43828211984	Astro	1
4493.91	-724.222140777896	-17.6018967719484	Astro	1
4493.92	-621.483602400755	32.8990791576384	Astro	1
4493.93	-432.778009362703	43.2699926708737	Astro	1
4493.94	-587.395961411327	-3.23209726260772	Astro	1
4493.95	-598.089650512394	37.1191394901206	Astro	1
4493.96	-734.12797526594	41.6446937395133	Astro	1
4493.97	-579.656210294299	5.19307884559739	Astro	1
4493.98	-526.135727494581	40.8084972973837	Astro	1
4493.99	-448.073710966369	8.44535888246171	Astro	1
4493.100	-484.959731091019	-41.8331080147871	Astro	1
