"","parent","cluster","depth","cellID"
"290",5,1,10,290
"291",5,1,9,291
"292",5,1,12,292
"293",5,1,10,293
"294",5,1,10,294
"295",5,1,10,295
"296",5,1,10,296
"297",5,1,9,297
"298",5,1,9,298
"299",5,1,12,299
"300",5,1,12,300
"301",5,1,9,301
"302",5,1,9,302
"303",5,1,12,303
"304",5,1,12,304
"305",5,1,12,305
"306",5,1,12,306
"307",5,1,12,307
"308",5,1,12,308
"309",5,1,12,309
"310",5,1,12,310
"311",5,1,12,311
"312",5,1,12,312
"313",5,1,9,313
"314",5,1,9,314
"315",5,1,9,315
"316",5,1,9,316
"317",5,1,12,317
"318",5,1,12,318
"319",5,1,12,319
"320",5,1,12,320
"321",5,1,12,321
"322",5,1,12,322
"323",5,1,11,323
"324",5,1,11,324
"325",5,1,11,325
"326",5,1,11,326
"327",5,1,11,327
"328",5,1,11,328
"329",5,1,12,329
"330",5,1,11,330
"331",5,1,12,331
"332",5,1,12,332
"333",5,1,11,333
"334",5,1,12,334
"335",5,1,12,335
"336",5,1,11,336
"337",5,1,8,337
"338",5,1,8,338
"339",5,1,8,339
"340",5,1,8,340
"341",5,1,9,341
"342",5,1,9,342
"343",5,1,9,343
"344",5,1,9,344
"345",5,1,11,345
"346",5,1,12,346
"347",5,1,11,347
"348",5,1,11,348
"349",5,1,10,349
"350",5,1,10,350
"351",5,1,10,351
"352",5,1,10,352
"353",5,1,12,353
"354",5,1,12,354
"355",5,1,11,355
"356",5,1,11,356
"357",5,1,9,357
"358",5,1,9,358
"359",5,1,9,359
"360",5,1,9,360
"361",5,1,10,361
"362",5,1,10,362
"363",5,1,10,363
"364",5,1,12,364
"365",5,1,11,365
"366",5,1,10,366
"367",5,1,12,367
"368",5,1,12,368
"369",5,1,6,369
"370",5,1,6,370
"371",5,1,9,371
"372",5,1,4,372
"373",5,1,4,373
"374",5,1,4,374
"375",5,1,4,375
"376",5,1,4,376
"377",4,5,3,377
"378",4,5,3,378
"379",4,5,3,379
"380",4,5,3,380
"381",5,6,4,381
"382",5,6,4,382
"383",6,3,9,383
"384",5,6,4,384
"385",4,5,0,385
"386",4,5,0,386
"387",4,5,3,387
"388",4,5,0,388
"389",4,5,0,389
"390",4,5,0,390
"391",4,5,0,391
"392",4,5,0,392
"393",4,5,3,393
"394",4,5,0,394
"395",5,1,6,395
"396",4,5,0,396
"397",4,5,0,397
"398",4,5,0,398
"399",4,5,0,399
"400",4,5,0,400
"401",5,6,6,401
"402",5,6,6,402
"403",5,6,6,403
"404",5,6,6,404
"405",4,5,2,405
"406",4,5,2,406
"407",5,1,5,407
"408",5,1,7,408
"409",4,5,2,409
"410",4,5,2,410
"411",5,1,7,411
"412",5,1,7,412
"413",5,1,8,413
"414",5,1,8,414
"415",4,5,2,415
"416",4,5,2,416
"417",5,6,4,417
"418",6,2,9,418
"419",5,6,4,419
"420",5,6,4,420
"421",5,6,4,421
"422",6,2,8,422
"423",5,6,4,423
"424",5,6,4,424
"425",6,3,10,425
"426",6,3,10,426
"427",6,3,10,427
"428",6,3,10,428
"429",5,6,4,429
"430",5,6,4,430
"431",5,6,4,431
"432",5,6,4,432
"433",5,6,6,433
"434",5,6,6,434
"435",5,6,6,435
"436",5,6,6,436
"437",4,5,3,437
"438",4,5,3,438
"439",5,6,5,439
"440",4,5,3,440
"441",5,6,6,441
"442",4,5,0,442
"443",4,5,0,443
"444",5,1,4,444
"445",5,6,6,445
"446",4,5,2,446
"447",4,5,3,447
"448",5,1,5,448
"449",4,5,1,449
"450",4,5,1,450
"451",4,5,1,451
"452",4,5,3,452
"453",5,1,6,453
"454",4,5,2,454
"455",4,5,2,455
"456",4,5,2,456
"457",4,5,1,457
"458",4,5,2,458
"459",5,6,5,459
"460",5,6,5,460
"461",5,1,7,461
"462",5,1,7,462
"463",5,1,8,463
"464",5,1,7,464
"465",5,6,6,465
"466",4,5,0,466
"467",5,1,5,467
"468",4,5,0,468
"469",4,5,0,469
"470",4,5,3,470
"471",4,5,0,471
"472",4,5,0,472
"473",4,5,3,473
"474",4,5,3,474
"475",4,5,0,475
"476",4,5,0,476
"477",4,5,0,477
"478",4,5,0,478
"479",4,5,0,479
"480",4,5,0,480
"481",4,5,0,481
"482",4,5,0,482
"483",4,5,0,483
"484",4,5,2,484
"485",4,5,0,485
"486",4,5,0,486
"487",5,1,5,487
"488",5,1,5,488
"489",5,1,5,489
"490",5,1,5,490
"491",5,1,6,491
"492",5,1,6,492
"493",5,1,12,493
"494",5,1,12,494
"495",5,1,10,495
"496",5,1,12,496
"497",5,1,6,497
"498",5,1,6,498
"499",4,5,2,499
"500",4,5,0,500
"501",6,3,12,501
"502",6,3,10,502
"503",5,6,6,503
"504",5,6,6,504
"505",4,5,0,505
"506",4,5,0,506
"507",4,5,0,507
"508",4,5,0,508
"509",4,5,0,509
"510",4,5,2,510
"511",5,1,6,511
"512",5,1,6,512
"513",5,1,4,513
"514",5,1,4,514
"515",5,1,8,515
"516",5,1,8,516
"517",5,1,4,517
"518",5,1,4,518
"519",5,1,4,519
"520",5,1,4,520
"521",6,2,10,521
"522",6,2,11,522
"523",6,2,8,523
"524",6,2,8,524
"525",4,5,3,525
"526",4,5,3,526
"527",4,5,3,527
"528",5,1,5,528
"529",5,1,11,529
"530",5,1,11,530
"531",5,1,5,531
"532",5,1,5,532
"533",5,1,9,533
"534",5,1,9,534
"535",5,1,5,535
"536",5,1,5,536
"537",5,6,4,537
"538",5,6,4,538
"539",4,5,2,539
"540",4,5,2,540
"541",5,6,7,541
"542",6,3,9,542
"543",4,5,2,543
"544",4,5,2,544
"545",5,1,6,545
"546",5,1,6,546
"547",5,1,11,547
"548",5,1,11,548
"549",5,1,8,549
"550",4,5,2,550
"551",6,2,12,551
"552",5,6,6,552
"553",4,5,2,553
"554",4,5,3,554
"555",4,5,2,555
"556",4,5,2,556
"557",5,6,5,557
"558",6,2,9,558
"559",5,6,5,559
"560",6,2,8,560
"561",4,5,2,561
"562",4,5,2,562
"563",5,1,7,563
"564",5,1,12,564
"565",4,5,2,565
"566",5,6,4,566
"567",4,5,2,567
"568",4,5,2,568
"569",6,3,8,569
"570",4,5,3,570
"571",5,6,6,571
"572",4,5,3,572
"573",4,5,3,573
"574",4,5,3,574
"575",4,5,3,575
"576",4,5,3,576
"577",4,5,2,577
"578",4,5,2,578
"579",4,5,2,579
"580",4,5,2,580
"581",4,5,2,581
"582",4,5,2,582
"583",5,6,4,583
"584",4,5,2,584
"585",4,5,3,585
"586",5,1,9,586
"587",4,5,2,587
"588",4,5,2,588
"589",4,5,2,589
"590",4,5,2,590
"591",4,5,2,591
"592",4,5,2,592
"593",4,5,2,593
"594",4,5,3,594
"595",5,1,7,595
"596",5,1,5,596
"597",4,5,2,597
"598",4,5,2,598
"599",5,6,5,599
"600",4,5,2,600
"601",5,1,12,601
"602",5,1,11,602
"603",5,1,5,603
"604",5,1,5,604
"605",5,1,5,605
"606",5,1,5,606
"607",5,1,5,607
"608",5,1,5,608
"609",4,5,2,609
"610",4,5,2,610
"611",6,3,8,611
"612",6,3,8,612
"613",5,1,7,613
"614",5,1,7,614
"615",5,1,11,615
"616",5,1,7,616
"617",5,1,8,617
"618",4,5,2,618
"619",4,5,2,619
"620",4,5,2,620
"621",5,1,6,621
"622",5,1,6,622
"623",5,1,4,623
"624",4,5,2,624
"625",4,5,2,625
"626",5,1,4,626
"627",4,5,2,627
"628",5,6,7,628
"629",4,5,2,629
"630",4,5,2,630
"631",4,5,2,631
"632",5,6,6,632
"633",6,3,8,633
"634",6,3,8,634
"635",6,3,8,635
"636",6,3,8,636
"637",4,5,2,637
"638",4,5,2,638
"639",4,5,2,639
"640",4,5,2,640
"641",4,5,3,641
"642",4,5,3,642
"643",5,1,4,643
"644",4,5,3,644
"645",5,6,4,645
"646",6,2,8,646
"647",4,5,3,647
"648",4,5,3,648
"649",5,1,6,649
"650",5,1,6,650
"651",5,1,8,651
"652",5,1,8,652
"653",5,1,11,653
"654",5,1,6,654
"655",5,1,6,655
"656",5,1,6,656
"657",4,5,2,657
"658",4,5,2,658
"659",4,5,2,659
"660",4,5,2,660
"661",5,1,7,661
"662",5,1,7,662
"663",5,1,11,663
"664",5,1,7,664
"665",5,1,4,665
"666",4,5,2,666
"667",4,5,2,667
"668",4,5,2,668
"669",4,5,2,669
"670",4,5,2,670
"671",4,5,2,671
"672",4,5,2,672
"673",5,6,5,673
"674",5,6,5,674
"675",6,3,9,675
"676",6,3,10,676
"677",5,6,5,677
"678",5,6,5,678
"679",6,3,8,679
"680",6,3,9,680
"681",5,6,5,681
"682",6,2,10,682
"683",6,2,8,683
"684",6,2,12,684
"685",6,2,10,685
"686",5,6,5,686
"687",5,6,5,687
"688",5,6,7,688
"689",5,1,5,689
"690",5,1,5,690
"691",5,1,5,691
"692",4,5,3,692
"693",5,1,9,693
"694",5,1,9,694
"695",5,1,4,695
"696",5,1,4,696
"697",4,5,2,697
"698",4,5,2,698
"699",4,5,2,699
"700",4,5,2,700
"701",5,6,7,701
"702",5,6,7,702
"703",5,6,7,703
"704",5,6,7,704
"705",4,5,2,705
"706",5,6,6,706
"707",5,6,7,707
"708",5,6,7,708
"709",4,5,2,709
"710",4,5,2,710
"711",5,6,7,711
"712",5,6,7,712
"713",6,3,8,713
"714",6,3,8,714
"715",6,3,9,715
"716",6,3,8,716
"717",4,5,2,717
"718",4,5,2,718
"719",4,5,2,719
"720",5,1,8,720
"721",4,5,2,721
"722",4,5,2,722
"723",4,5,2,723
"724",4,5,2,724
"725",5,1,10,725
"726",5,1,7,726
"727",5,1,12,727
"728",5,1,8,728
"729",6,2,11,729
"730",6,2,8,730
"731",5,6,4,731
"732",5,6,4,732
"733",5,6,4,733
"734",5,6,4,734
"735",5,6,4,735
"736",6,3,10,736
"737",5,1,4,737
"738",5,1,4,738
"739",5,1,4,739
"740",5,1,4,740
"741",5,1,4,741
"742",5,1,4,742
"743",5,1,4,743
"744",5,1,4,744
"745",6,3,12,745
"746",6,3,11,746
"747",5,6,6,747
"748",5,6,6,748
"749",4,5,2,749
"750",4,5,2,750
"751",6,2,8,751
"752",6,2,8,752
"753",6,3,12,753
"754",6,3,9,754
"755",6,3,9,755
"756",6,3,9,756
"757",6,3,12,757
"758",6,3,12,758
"759",6,3,9,759
"760",6,3,9,760
"761",5,6,4,761
"762",5,6,4,762
"763",5,6,4,763
"764",5,6,4,764
"765",5,6,5,765
"766",5,6,5,766
"767",6,3,9,767
"768",6,3,9,768
"769",6,3,9,769
"770",6,3,9,770
"771",5,6,6,771
"772",5,6,6,772
"773",5,6,6,773
"774",5,6,6,774
"775",5,6,6,775
"776",5,6,6,776
"777",5,6,6,777
"778",5,6,6,778
"779",5,6,6,779
"780",5,6,6,780
"781",5,6,7,781
"782",5,6,7,782
"783",5,6,6,783
"784",5,6,6,784
"785",5,6,6,785
"786",5,6,6,786
"787",5,6,6,787
"788",5,6,6,788
"789",5,6,6,789
"790",5,6,6,790
"791",6,2,10,791
"792",5,6,6,792
"793",6,2,12,793
"794",6,2,12,794
"795",6,2,12,795
"796",6,2,12,796
"797",6,2,10,797
"798",6,2,10,798
"799",5,6,6,799
"800",6,2,10,800
"801",5,6,6,801
"802",5,6,6,802
"803",5,6,6,803
"804",5,6,6,804
"805",6,2,12,805
"806",6,2,12,806
"807",6,2,12,807
"808",6,2,12,808
"809",6,3,10,809
"810",6,3,12,810
"811",5,6,7,811
"812",5,6,7,812
"813",6,2,12,813
"814",6,2,12,814
"815",6,2,9,815
"816",6,2,9,816
"817",5,6,6,817
"818",5,6,6,818
"819",6,3,12,819
"820",6,3,12,820
"821",5,6,6,821
