cellid	x	y	cell_type	clone
1	-1.47924158154088	-0.793665692036448	2	1
2	-2.80862468307158	-1.36697062581763	2	1
3	1.64400321155945	-0.678620178088347	2	1
4	0.356584391557968	-0.829737118804469	2	1
5	0.733697280632037	-1.5633765217817	2	1
6	4.36831408797386	-0.81844481141833	2	1
7	1.75972555452794	-3.57779083812528	2	1
8	1.00290795008671	-1.91602923427096	2	1
9	3.7634800993996	-2.66842745465272	2	1
10	0.25986293712152	-1.31966600239321	2	1
11	0.503445958376611	-0.846773235376884	2	1
12	2.4427389893636	-2.18283920442542	2	1
13	2.59772047136538	-1.39121773689787	2	1
14	0.771096975506487	-1.04334281722763	2	1
15	0.176288437211022	-2.75723024180536	2	1
16	1.04515069293546	-3.10249112216006	2	1
17	2.26889594893793	-1.15040144068381	2	1
18	2.97929875880902	-2.48569731051865	2	1
19	-0.636999295961388	-0.965606872869412	2	1
20	-1.18989455607394	-1.53177121194341	2	1
21	0.309179890034407	-2.78789686158532	2	1
22	3.9614084476743	-2.22884876407941	2	1
23	4.34907571250189	-1.59088436123413	2	1
24	4.12421862475598	-0.9846893636579	2	1
25	3.76082321790468	-3.18127775372334	2	1
26	-0.870051493136633	-1.16941157136006	2	1
27	2.21388230854788	-3.76136070625613	2	1
28	-1.99863836031671	-0.854219010363431	2	1
29	-3.15889704066766	-0.500332519856816	2	1
30	-2.8017956846765	-0.182095054198328	2	1
31	1.24545007919185	-2.2397635717955	2	1
32	0.917843173842343	-0.696788879091184	2	1
33	-1.09260988485694	-0.664097695385753	2	1
34	-0.196881909746613	-0.343888003751503	2	1
35	-1.10055736712147	0.787795337340736	2	1
36	-2.43637264146648	-1.17462705300581	2	1
37	-1.22663104979397	-2.2689531627888	2	1
38	-1.76873494640598	1.5288049587579	6	1
39	3.41474558514674	-1.79702050453778	2	1
40	-0.704346471892183	0.872970669333421	2	1
41	1.90442906595215	-4.11633333840505	2	1
42	2.7598997124925	-1.60772127879998	2	1
43	-3.54308045686656	-0.343427540337196	2	1
44	-0.445279121335606	-0.706968070931221	2	1
45	2.16133699105091	-1.34829506097594	2	1
46	4.14501326894694	-0.686441010884418	2	1
47	1.15712852226673	-2.42248591849831	2	1
48	2.8646809834956	-1.44905011190177	2	1
49	-1.18172726836744	3.37214386067386	3	1
50	-3.71854798957129	0.923373284318847	3	1
51	-0.360971953962323	4.06658853544294	3	1
52	-3.37575819640065	3.39884263214726	3	1
53	-0.158459688782308	3.74011616664114	3	1
54	-0.0963487016213539	3.48627715834526	3	1
55	-1.21574315393388	3.74936416385644	3	1
56	-2.22542155971898	2.83366762122665	3	1
57	-2.39472131897186	3.03178343250781	3	1
58	-0.442089757896398	2.09194593655822	3	1
59	-0.688789998344019	3.55797241370397	3	1
60	-3.67884015141429	3.49038571272574	3	1
61	0.194443008769298	1.85877243342386	3	1
62	-1.77394021397203	2.31633838737886	3	1
63	-3.86557519382546	1.88500118892113	3	1
64	0.514068425476498	2.82035104366067	3	1
65	2.83172565900772	-0.219446294230279	1	1
66	2.76302791719471	0.95620243540505	1	1
67	2.53538750003754	2.53646528705039	1	1
68	3.7932106471099	2.12676607628749	1	1
69	3.96358797624151	-0.33593016788094	6	1
70	1.84167303044041	3.63734285107771	5	1
71	3.33770918598908	3.08140711492702	1	1
72	4.27019137408733	0.499823624179425	1	1
73	0.540070966166624	-0.25048775790607	1	1
74	2.60526883744579	0.685927738233164	1	1
75	2.38217824050549	4.26978699270862	1	1
76	2.49419072329391	3.94887480752714	1	1
77	0.940472567074589	3.8039712654704	1	1
78	3.84064504120443	1.38539461282116	1	1
79	3.9347540108696	3.30499988670575	1	1
80	1.90303968355435	0.882773005401189	1	1
81	3.38763583051778	-1.02351427120166	2	1
82	-0.496898882988925	-0.939565763259882	2	1
83	-3.25991019931603	0.345543139579133	2	1
84	1.02931368791884	-3.7215109370174	2	1
85	1.2945066769861	-0.91948091813569	2	1
86	1.15505341343869	-3.95280478785376	2	1
87	3.23943698925452	-3.81954284339518	2	1
88	-0.617037498014448	0.749869162381179	2	1
89	-1.93956063428305	2.57850570704543	3	1
90	-0.980232514127125	-0.632268036278127	3	1
91	-1.73367931082068	-2.13110940516983	3	1
92	-1.98339843689981	-2.23146161602063	3	1
