"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
"4493.29" "0" "0" "9" "2" "5" "2" "4" "0" "0" "12" "12" "0" "0" "0" "2" "0" "2" "2" "2" "0" "0" "0" "0" "2" "5" "0" "0" "0" "0" "0" "0" "3" "1"
"4493.30" "0" "0" "9" "2" "5" "2" "4" "0" "11" "12" "12" "0" "0" "0" "2" "0" "2" "2" "2" "0" "0" "0" "0" "2" "5" "0" "0" "0" "5" "0" "11" "3" "1"
"4493.31" "0" "3" "9" "2" "5" "2" "4" "2" "0" "12" "12" "0" "0" "0" "2" "0" "2" "2" "2" "0" "0" "0" "0" "2" "5" "0" "2" "0" "10" "0" "0" "0" "1"
"4493.32" "0" "3" "9" "2" "5" "2" "4" "2" "21" "12" "12" "0" "0" "0" "2" "0" "2" "2" "2" "0" "0" "0" "2" "2" "5" "0" "2" "2" "10" "0" "2" "0" "1"
"4493.33" "2" "0" "9" "0" "0" "2" "4" "0" "2" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "0" "5" "2" "5" "0" "27" "0" "0" "3" "0" "5" "1"
"4493.34" "2" "0" "9" "0" "0" "2" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "5" "0" "0" "2" "0" "0" "27" "0" "0" "3" "0" "5" "1"
"4493.35" "2" "0" "9" "5" "2" "2" "4" "13" "0" "0" "12" "0" "2" "0" "5" "8" "2" "5" "2" "2" "0" "0" "0" "2" "0" "0" "27" "0" "0" "3" "3" "0" "1"
"4493.36" "2" "0" "9" "0" "0" "2" "4" "0" "2" "3" "12" "0" "2" "0" "5" "8" "2" "5" "2" "2" "0" "0" "0" "2" "0" "0" "27" "0" "0" "3" "0" "0" "1"
"4493.37" "2" "0" "9" "0" "0" "2" "4" "2" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "0" "4" "2" "0" "2" "27" "2" "0" "3" "0" "0" "1"
"4493.38" "2" "0" "9" "0" "0" "2" "4" "0" "0" "0" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "0" "4" "2" "0" "2" "27" "2" "0" "3" "0" "0" "1"
"4493.39" "2" "0" "9" "0" "0" "2" "4" "2" "2" "2" "12" "0" "2" "0" "5" "0" "2" "0" "2" "2" "0" "0" "2" "2" "0" "0" "27" "2" "0" "3" "0" "0" "1"
